IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
2606:4700:a8:d1:f51e:60c6:c33c:57f8,4,4,0.00,84.36,0.00
2606:4700:a8:40:f7ba:f27a:10b0:ce48,4,4,0.00,85.68,0.00
2606:4700:a8:d1:b5bc:faf9:e406:37a5,4,4,0.00,86.49,0.00
2606:4700:a8:40:1dfe:fc2d:ea59:2caf,4,4,0.00,86.68,0.00
2606:4700:a8:7fa1:f6d2:4be3:a36e:5856,4,4,0.00,86.74,0.00
2606:4700:a8:d1:f51e:d85e:5c89:b4a4,4,4,0.00,86.80,0.00
2606:4700:a8:d1:b5bc:faf9:24c0:a9b0,4,4,0.00,86.88,0.00
2606:4700:a8:7fa1:f6ac:cde3:7f04:26ed,4,4,0.00,87.19,0.00
2606:4700:a8:d1:b5bc:fa4d:625b:b0fe,4,4,0.00,87.28,0.00
2606:4700:a8:d1:b5bc:faf9:24d5:5889,4,4,0.00,87.51,0.00
